method_name,loss,parameters
Spider,-686.9490643117686,"(5e-05, 5e-05, 5e-05)"
Spider,-687.0249075528575,"(5e-05, 5e-05, 0.0005)"
Spider,-687.0000724140128,"(5e-05, 5e-05, 0.005)"
Spider,-686.9257632314569,"(5e-05, 5e-05, 0.05)"
Spider,-685.7403586370043,"(5e-05, 5e-05, 0.5)"
Spider,-675.4420667067008,"(5e-05, 5e-05, 5.0)"
Spider,-573.5819747151739,"(5e-05, 5e-05, 50.0)"
Spider,226.71613212255397,"(5e-05, 5e-05, 500.0)"
Spider,2383.4023658182655,"(5e-05, 5e-05, 5000.0)"
Spider,3322.71788900221,"(5e-05, 5e-05, 50000.0)"
Spider,-27046.51202193831,"(5e-05, 0.0005, 5e-05)"
Spider,-27059.766044319193,"(5e-05, 0.0005, 0.0005)"
Spider,-27053.547384567122,"(5e-05, 0.0005, 0.005)"
Spider,-27052.660488261932,"(5e-05, 0.0005, 0.05)"
Spider,-27039.150246183104,"(5e-05, 0.0005, 0.5)"
Spider,-26958.972286964097,"(5e-05, 0.0005, 5.0)"
Spider,-26197.34791657288,"(5e-05, 0.0005, 50.0)"
Spider,-20414.395020577234,"(5e-05, 0.0005, 500.0)"
Spider,-5472.925027323634,"(5e-05, 0.0005, 5000.0)"
Spider,2089.6448962535887,"(5e-05, 0.0005, 50000.0)"
Spider,-124731.48562866327,"(5e-05, 0.005, 5e-05)"
Spider,-130726.49658679195,"(5e-05, 0.005, 0.0005)"
Spider,-125539.15109595371,"(5e-05, 0.005, 0.005)"
Spider,-124076.06524966561,"(5e-05, 0.005, 0.05)"
Spider,-130905.04472970123,"(5e-05, 0.005, 0.5)"
Spider,-115338.45126930471,"(5e-05, 0.005, 5.0)"
Spider,-114421.29020884966,"(5e-05, 0.005, 50.0)"
Spider,-103517.69002214429,"(5e-05, 0.005, 500.0)"
Spider,-53481.71616191794,"(5e-05, 0.005, 5000.0)"
Spider,-7532.320529304197,"(5e-05, 0.005, 50000.0)"
Spider,-284139.07382849767,"(5e-05, 0.05, 5e-05)"
Spider,-404106.96248616325,"(5e-05, 0.05, 0.0005)"
Spider,-505676.40907826845,"(5e-05, 0.05, 0.005)"
Spider,-222655.69766450307,"(5e-05, 0.05, 0.05)"
Spider,-270622.23643238755,"(5e-05, 0.05, 0.5)"
Spider,-489536.064970193,"(5e-05, 0.05, 5.0)"
Spider,-266042.1172668062,"(5e-05, 0.05, 50.0)"
Spider,-399591.27406203025,"(5e-05, 0.05, 500.0)"
Spider,3012.62931950229,"(0.0005, 5e-05)"
Spider,3012.6293867213262,"(0.0005, 0.0005)"
Spider,3012.6306222396315,"(0.0005, 0.005)"
Spider,3012.643181448852,"(0.0005, 0.05)"
Spider,3012.7683325996313,"(0.0005, 0.5)"
Spider,3014.015498494382,"(0.0005, 5.0)"
Spider,3026.119338685293,"(0.0005, 50.0)"
Spider,3118.945494132524,"(0.0005, 500.0)"
Spider,3353.6321884593003,"(0.0005, 5000.0)"
Spider,3450.568399760882,"(0.0005, 50000.0)"
Spider,3418.8537118940794,"(0.005, 5e-05)"
Spider,3418.853725083113,"(0.005, 0.0005)"
Spider,3418.853855678868,"(0.005, 0.005)"
Spider,3418.8551372885586,"(0.005, 0.05)"
Spider,3418.86796084125,"(0.005, 0.5)"
Spider,3418.995836397539,"(0.005, 5.0)"
Spider,3420.2364310602397,"(0.005, 50.0)"
Spider,3429.735161037277,"(0.005, 500.0)"
SpiderBoost,2213.3142212828575,5e-05
SpiderBoost,2213.296676639524,0.0005
SpiderBoost,2213.304523670434,0.005
SpiderBoost,2213.3329571183913,0.05
SpiderBoost,2213.675645856766,0.5
SpiderBoost,2216.9307910218295,5.0
SpiderBoost,2248.6797309434605,50.0
SpiderBoost,2495.0031727422556,500.0
SpiderBoost,3142.7693568378404,5000.0
SpiderBoost,3421.766882439344,50000.0
SVRG,1108.3830142421757,5e-05
SVRG,1110.0424914234623,0.0005
SVRG,1110.3115171067373,0.005
SVRG,1109.7681515801082,0.05
SVRG,1108.724828576556,0.5
SVRG,1116.637107012992,5.0
SVRG,1172.7968830525128,50.0
SVRG,1617.461169603087,500.0
SVRG,2833.909191765254,5000.0
SVRG,3380.139287793073,50000.0
AdaSVRG,221180.35330284917,"(5e-05, 5e-05)"
AdaSVRG,219469.30665239363,"(5e-05, 0.0005)"
AdaSVRG,218948.4089447949,"(5e-05, 0.005)"
AdaSVRG,219811.9181093639,"(5e-05, 0.05)"
AdaSVRG,219675.04222015804,"(5e-05, 0.5)"
AdaSVRG,221086.12001458806,"(5e-05, 5.0)"
AdaSVRG,219631.78922413272,"(5e-05, 50.0)"
AdaSVRG,219698.85476883172,"(5e-05, 500.0)"
AdaSVRG,218852.7412170318,"(5e-05, 5000.0)"
AdaSVRG,224308.87020715978,"(5e-05, 50000.0)"
AdaSVRG,218966.73547998464,"(0.0005, 5e-05)"
AdaSVRG,219072.60319847794,"(0.0005, 0.0005)"
AdaSVRG,222440.5455150812,"(0.0005, 0.005)"
AdaSVRG,220508.88433158153,"(0.0005, 0.05)"
AdaSVRG,220091.36502190886,"(0.0005, 0.5)"
AdaSVRG,224570.46291755943,"(0.0005, 5.0)"
AdaSVRG,218938.84997068683,"(0.0005, 50.0)"
