method_name,loss,parameters
SGD,1855.1143640045455,1e-05
SGD,323.88696430184086,0.0001
SGD,-7221.606880267143,0.001
SGD,-78914.01515123305,0.01
SGD,-612348.6037989366,0.1
Spider,1638.5498157358759,"(1e-05, 1e-05)"
Spider,-1543.443079618713,"(1e-05, 0.0001)"
Spider,-25852.27664318496,"(1e-05, 0.001)"
Spider,-246800.66799601394,"(1e-05, 0.01)"
Spider,-1035566.2370852835,"(1e-05, 0.1)"
Spider,2030.586913992472,"(0.0001, 1e-05)"
Spider,1638.5500560574992,"(0.0001, 0.0001)"
Spider,-1543.3905691414768,"(0.0001, 0.001)"
Spider,-25857.17331075099,"(0.0001, 0.01)"
Spider,-246888.42983992235,"(0.0001, 0.1)"
Spider,2074.3536511432944,"(0.001, 1e-05)"
Spider,2030.5869158597911,"(0.001, 0.0001)"
Spider,1638.5499555525125,"(0.001, 0.001)"
Spider,-1543.4211883507717,"(0.001, 0.01)"
Spider,-25856.46856305303,"(0.001, 0.1)"
Spider,2078.930208964649,"(0.01, 1e-05)"
Spider,2074.353653190902,"(0.01, 0.0001)"
Spider,2030.5869355478783,"(0.01, 0.001)"
Spider,1638.5500523163305,"(0.01, 0.01)"
Spider,-1543.4273967402223,"(0.01, 0.1)"
Spider,2079.3903825945717,"(0.1, 1e-05)"
Spider,2078.9302110318777,"(0.1, 0.0001)"
Spider,2074.3536736599553,"(0.1, 0.001)"
Spider,2030.5871253629148,"(0.1, 0.01)"
Spider,1638.5517597172227,"(0.1, 0.1)"
SpiderBoost,1603.1924700504787,1e-05
SpiderBoost,1603.1908398070714,0.0001
SpiderBoost,1603.1927842774749,0.001
SpiderBoost,1603.1847182900624,0.01
SpiderBoost,1603.1934224617946,0.1
SVRG,-385412.9140666999,1e-05
SVRG,-391930.44658354064,0.0001
SVRG,-388706.30307854875,0.001
SVRG,-391710.0193136665,0.01
SVRG,-394994.2201507054,0.1
AdaGrad,2059.3092746106986,"(1e-05, 1e-05)"
AdaGrad,2059.2982319573093,"(1e-05, 0.0001)"
AdaGrad,409108.0851185735,"(1e-05, 0.001)"
AdaGrad,-2488906.5719741965,"(1e-05, 0.01)"
AdaGrad,inf,"(1e-05, 0.1)"
AdaGrad,2059.296693437403,"(0.0001, 1e-05)"
AdaGrad,2059.314183207404,"(0.0001, 0.0001)"
AdaGrad,413567.89858936844,"(0.0001, 0.001)"
AdaGrad,-2817717.8674604613,"(0.0001, 0.01)"
AdaGrad,inf,"(0.0001, 0.1)"
AdaGrad,2059.7607948743316,"(0.001, 1e-05)"
AdaGrad,2067.324306535541,"(0.001, 0.0001)"
AdaGrad,398238.17804859485,"(0.001, 0.001)"
AdaGrad,-2483729.417195799,"(0.001, 0.01)"
AdaGrad,inf,"(0.001, 0.1)"
AdaGrad,2115.644066185957,"(0.01, 1e-05)"
AdaGrad,2737.7610473125246,"(0.01, 0.0001)"
AdaGrad,419471.7873404227,"(0.01, 0.001)"
AdaGrad,-2335648.315954501,"(0.01, 0.01)"
AdaGrad,inf,"(0.01, 0.1)"
AdaGrad,5203.742871787958,"(0.1, 1e-05)"
AdaGrad,31135.77936103092,"(0.1, 0.0001)"
AdaGrad,408008.4351858651,"(0.1, 0.001)"
AdaGrad,-2819980.7348160325,"(0.1, 0.01)"
AdaGrad,inf,"(0.1, 0.1)"
AdaSVRG,3638.5425154106215,"(1e-05, 1e-05)"
AdaSVRG,3638.5374353373613,"(1e-05, 0.0001)"
AdaSVRG,3638.5309382032433,"(1e-05, 0.001)"
AdaSVRG,3638.183602992715,"(1e-05, 0.01)"
AdaSVRG,3638.543223784764,"(1e-05, 0.1)"
AdaSVRG,3638.490822792493,"(0.0001, 1e-05)"
AdaSVRG,3638.8020098715183,"(0.0001, 0.0001)"
AdaSVRG,3638.5564729635785,"(0.0001, 0.001)"
AdaSVRG,3638.8022753388714,"(0.0001, 0.01)"
AdaSVRG,3638.521420165474,"(0.0001, 0.1)"
AdaSVRG,3638.2516139109407,"(0.001, 1e-05)"
AdaSVRG,3638.3848341392836,"(0.001, 0.0001)"
AdaSVRG,3638.188569341741,"(0.001, 0.001)"
AdaSVRG,3638.379260284676,"(0.001, 0.01)"
AdaSVRG,3638.3727613441283,"(0.001, 0.1)"
AdaSVRG,3636.6763205918633,"(0.01, 1e-05)"
AdaSVRG,3636.730440145487,"(0.01, 0.0001)"
AdaSVRG,3636.91970394102,"(0.01, 0.001)"
AdaSVRG,3636.685586101218,"(0.01, 0.01)"
AdaSVRG,3636.9220764559664,"(0.01, 0.1)"
AdaSVRG,3622.251209695994,"(0.1, 1e-05)"
AdaSVRG,3622.4969663483616,"(0.1, 0.0001)"
AdaSVRG,3622.4943235959695,"(0.1, 0.001)"
AdaSVRG,3622.4975170493763,"(0.1, 0.01)"
AdaSVRG,3622.4971946896917,"(0.1, 0.1)"
