method_name,loss,parameters
Spider,641.688095525928,"(1e-05, 1e-05, 1e-05)"
Spider,641.6881077268981,"(1e-05, 1e-05, 0.0001)"
Spider,641.6881239683291,"(1e-05, 1e-05, 0.001)"
Spider,641.688151586769,"(1e-05, 1e-05, 0.01)"
Spider,641.6883216386047,"(1e-05, 1e-05, 0.1)"
Spider,235.05054704752752,"(1e-05, 0.0001, 1e-05)"
Spider,235.04787103924326,"(1e-05, 0.0001, 0.0001)"
Spider,235.04456575161237,"(1e-05, 0.0001, 0.001)"
Spider,235.04689234562562,"(1e-05, 0.0001, 0.01)"
Spider,235.05253583355872,"(1e-05, 0.0001, 0.1)"
Spider,-2680.8520144998624,"(1e-05, 0.001, 1e-05)"
Spider,-2681.5916444139584,"(1e-05, 0.001, 0.0001)"
Spider,-2680.98448484885,"(1e-05, 0.001, 0.001)"
Spider,-2681.3551742804557,"(1e-05, 0.001, 0.01)"
Spider,-2680.5148558423293,"(1e-05, 0.001, 0.1)"
Spider,-23854.92470720649,"(1e-05, 0.01, 1e-05)"
Spider,-23719.931579133718,"(1e-05, 0.01, 0.0001)"
Spider,-23662.535172735545,"(1e-05, 0.01, 0.001)"
Spider,-23880.14978509586,"(1e-05, 0.01, 0.01)"
Spider,-23709.025852087365,"(1e-05, 0.01, 0.1)"
Spider,-71512.52064817434,"(1e-05, 0.1, 1e-05)"
Spider,-75924.43949251437,"(1e-05, 0.1, 0.0001)"
Spider,-85624.68770574758,"(1e-05, 0.1, 0.001)"
Spider,-88948.6011388548,"(1e-05, 0.1, 0.01)"
Spider,-83163.57378030379,"(1e-05, 0.1, 0.1)"
Spider,687.5582661654214,"(0.0001, 1e-05, 1e-05)"
Spider,687.558266043148,"(0.0001, 1e-05, 0.0001)"
Spider,687.5582664219083,"(0.0001, 1e-05, 0.001)"
Spider,687.5582684546554,"(0.0001, 1e-05, 0.01)"
Spider,687.5582908504823,"(0.0001, 1e-05, 0.1)"
Spider,641.6880758813024,"(0.0001, 0.0001, 1e-05)"
Spider,641.6881045744881,"(0.0001, 0.0001, 0.0001)"
Spider,641.6881039392492,"(0.0001, 0.0001, 0.001)"
Spider,641.6881362032877,"(0.0001, 0.0001, 0.01)"
Spider,641.6883519239417,"(0.0001, 0.0001, 0.1)"
Spider,235.04776718667924,"(0.0001, 0.001, 1e-05)"
Spider,235.05066305536764,"(0.0001, 0.001, 0.0001)"
Spider,235.0487338054597,"(0.0001, 0.001, 0.001)"
Spider,235.04783511565438,"(0.0001, 0.001, 0.01)"
Spider,235.04832815620026,"(0.0001, 0.001, 0.1)"
Spider,-2681.6911229586826,"(0.0001, 0.01, 1e-05)"
Spider,-2680.8486824934666,"(0.0001, 0.01, 0.0001)"
Spider,-2681.531725140876,"(0.0001, 0.01, 0.001)"
Spider,-2681.0717356687583,"(0.0001, 0.01, 0.01)"
Spider,-2681.367257150082,"(0.0001, 0.01, 0.1)"
Spider,-23608.040043088986,"(0.0001, 0.1, 1e-05)"
Spider,-24016.15512296183,"(0.0001, 0.1, 0.0001)"
Spider,-23617.55770091303,"(0.0001, 0.1, 0.001)"
Spider,-23959.987307122992,"(0.0001, 0.1, 0.01)"
Spider,-23843.798119492123,"(0.0001, 0.1, 0.1)"
Spider,692.5793991164182,"(0.001, 1e-05, 1e-05)"
Spider,692.5793991187281,"(0.001, 1e-05, 0.0001)"
Spider,692.5793991416454,"(0.001, 1e-05, 0.001)"
Spider,692.5793993708286,"(0.001, 1e-05, 0.01)"
Spider,692.579401663422,"(0.001, 1e-05, 0.1)"
Spider,687.5582659643704,"(0.001, 0.0001, 1e-05)"
Spider,687.5582661435028,"(0.001, 0.0001, 0.0001)"
Spider,687.5582662538761,"(0.001, 0.0001, 0.001)"
Spider,687.5582684680114,"(0.001, 0.0001, 0.01)"
Spider,687.5582907080995,"(0.001, 0.0001, 0.1)"
Spider,641.6881510749577,"(0.001, 0.001, 1e-05)"
Spider,641.6881239997322,"(0.001, 0.001, 0.0001)"
Spider,641.6880919646362,"(0.001, 0.001, 0.001)"
Spider,641.6881247130818,"(0.001, 0.001, 0.01)"
Spider,641.6883317873203,"(0.001, 0.001, 0.1)"
Spider,235.0500105079999,"(0.001, 0.01, 1e-05)"
Spider,235.04978083409992,"(0.001, 0.01, 0.0001)"
Spider,235.0462291556926,"(0.001, 0.01, 0.001)"
Spider,235.04642925934183,"(0.001, 0.01, 0.01)"
Spider,235.05307434803726,"(0.001, 0.01, 0.1)"
Spider,-2681.054012926447,"(0.001, 0.1, 1e-05)"
Spider,-2681.9156626980216,"(0.001, 0.1, 0.0001)"
