method_name,loss,parameters
SGD,2867.204443510742,1e-05
SGD,-902.0780862239404,0.0001
SGD,-20413.246925694184,0.001
SGD,-218335.63084258937,0.01
SGD,-2030941.2286663163,0.1
Spider,2270.0819304659112,"(1e-05, 1e-05)"
Spider,-5815.17407232312,"(1e-05, 0.0001)"
Spider,-72688.30722098102,"(1e-05, 0.001)"
Spider,-706448.4578975432,"(1e-05, 0.01)"
Spider,-2679229.133032974,"(1e-05, 0.1)"
Spider,3332.9106853111534,"(0.0001, 1e-05)"
Spider,2270.080085650267,"(0.0001, 0.0001)"
Spider,-5815.3948772926315,"(0.0001, 0.001)"
Spider,-72713.19990865908,"(0.0001, 0.01)"
Spider,-703038.4140235246,"(0.0001, 0.1)"
Spider,3451.65835467391,"(0.001, 1e-05)"
Spider,3332.9106903654465,"(0.001, 0.0001)"
Spider,2270.0847591744678,"(0.001, 0.001)"
Spider,-5812.830416741128,"(0.001, 0.01)"
Spider,-72671.2879836396,"(0.001, 0.1)"
Spider,3464.3165748282017,"(0.01, 1e-05)"
Spider,3451.6583546115116,"(0.01, 0.0001)"
Spider,3332.910652968629,"(0.01, 0.001)"
Spider,2270.081985453341,"(0.01, 0.01)"
Spider,-5812.704906468403,"(0.01, 0.1)"
Spider,3465.5938498155056,"(0.1, 1e-05)"
Spider,3464.3165748282286,"(0.1, 0.0001)"
Spider,3451.658354596524,"(0.1, 0.001)"
Spider,3332.9106401536483,"(0.1, 0.01)"
Spider,2270.0816251635893,"(0.1, 0.1)"
SpiderBoost,2203.122415569598,"(0.1, 0.1)"
SVRG,1148.1173162771947,1e-05
SVRG,1148.2208061215097,0.0001
SVRG,1148.596063249836,0.001
SVRG,1148.6433157164324,0.01
SVRG,1148.5377587416333,0.1
AdaGrad,3432.1732869449143,"(1e-05, 1e-05)"
AdaGrad,3432.1622442915245,"(1e-05, 0.0001)"
AdaGrad,696084.9569926206,"(1e-05, 0.001)"
AdaGrad,-6698101.716060839,"(1e-05, 0.01)"
AdaGrad,inf,"(1e-05, 0.1)"
AdaGrad,3432.1607057716183,"(0.0001, 1e-05)"
AdaGrad,3432.178195541619,"(0.0001, 0.0001)"
AdaGrad,695415.2509014435,"(0.0001, 0.001)"
AdaGrad,-7160076.911305875,"(0.0001, 0.01)"
AdaGrad,inf,"(0.0001, 0.1)"
AdaGrad,3432.6248072085464,"(0.001, 1e-05)"
AdaGrad,3440.1883188697557,"(0.001, 0.0001)"
AdaGrad,702493.038782469,"(0.001, 0.001)"
AdaGrad,-6657655.166288607,"(0.001, 0.01)"
AdaGrad,inf,"(0.001, 0.1)"
AdaGrad,3488.5080785201726,"(0.01, 1e-05)"
AdaGrad,4110.625059646739,"(0.01, 0.0001)"
AdaGrad,692669.606444209,"(0.01, 0.001)"
AdaGrad,-6367684.847359544,"(0.01, 0.01)"
AdaGrad,inf,"(0.01, 0.1)"
AdaGrad,6576.606884122174,"(0.1, 1e-05)"
AdaGrad,32508.643373365136,"(0.1, 0.0001)"
AdaGrad,689699.6830757154,"(0.1, 0.001)"
AdaGrad,-7285826.125370395,"(0.1, 0.01)"
AdaGrad,inf,"(0.1, 0.1)"
AdaSVRG,-857972.9011564613,1e-05
AdaSVRG,-858528.399223096,0.0001
AdaSVRG,-854411.603478296,0.001
AdaSVRG,-855162.9647081859,0.01
AdaSVRG,-851480.2575765762,0.1
